realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
315.89061,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,1.73417847,1.82035839,232.1010542,12.28990504,284.9661603,19.85685203,4.86966,52.37933
509.9243081,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,90,1,2.818626042,1.518472414,179.4432998,9.501641958,220.780144,15.38427808,4.85394,52.36503
899.6320859,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,1,3.991285842,0.157236283,124.1707765,6.574925124,160.4226299,11.17847966,4.91886,52.34101
245.5885455,Private room,FALSE,TRUE,2,FALSE,1,0,10,89,1,4.857013311,0.216018912,104.4842799,5.532512043,130.3621909,9.083825019,4.83453,52.34833
386.8956952,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,88,1,3.513354687,0.889144598,150.6834159,7.978786993,190.3240185,13.26205144,4.90621,52.34269
1155.297261,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,92,2,1.141082073,1.164681255,385.1064933,20.39164471,436.3778204,30.40743435,4.87641,52.37415
242.0734422,Private room,FALSE,TRUE,2,TRUE,0,0,9,94,1,3.649659689,0.921838021,160.7287744,8.510695403,193.0986368,13.45539083,4.86193,52.34655
188.1751927,Private room,FALSE,TRUE,2,FALSE,1,0,8,83,1,3.119002161,0.482569692,165.7259466,8.775298989,213.7330946,14.89322954,4.91089,52.3474
355.2597661,Private room,FALSE,TRUE,3,FALSE,1,0,9,93,0,0.993573102,1.117368771,419.2793899,22.20112229,492.0919813,34.28967724,4.88061,52.37785
549.5278045,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,94,1,3.736897499,0.895566084,154.5837754,8.185313623,189.2525077,13.18738702,4.85967,52.3466
894.7109413,Private room,FALSE,TRUE,4,TRUE,1,0,10,94,2,0.398396609,0.303282064,548.9261625,29.06600504,712.8557278,49.67281271,4.89717,52.37066
784.1023598,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,89,2,1.734961452,1.642635412,208.5765195,11.04426529,269.6404499,18.78893448,4.88003,52.38662
737.2343168,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,3,2.440051932,1.874989565,214.4851402,11.35713069,267.7737096,18.65885734,4.85991,52.36497
373.5383029,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,3.536676479,2.596328475,118.3416754,6.266270344,148.3391372,10.3364845,4.945,52.372
405.6429124,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,0.17579991,0.411673147,601.9392867,31.87308519,794.0454286,55.33022787,4.89294,52.37481
